item_desc|corp_item_brand_name|pim_item_class_desc|pim_item_sub_class_desc|state|flavor|pim_tasting_notes
CIROC VODKA 80 W/3-50ML(RB/CO/FV)|CIROC|VODKA|VODKA|TX||CIROC vodka offers a taste experience that is lusciously different and elegantly smooth.
CIROC VODKA 80 LTD ED CELEBRATION|CIROC|VODKA|VODKA|TX||Finished in a tailor-made copper pot still in Southern France
CIROC VODKA 80|CIROC|VODKA|VODKA|TX||Finished in a tailor-made copper pot still in Southern France
CIROC VODKA 80 W/SHOT PACK GLS|CIROC|VODKA|VODKA|TX||Finished in a tailor-made copper pot still in Southern France
CIROC VODKA 80 W/2 GLS|CIROC|VODKA|VODKA|TX||Finished in a tailor-made copper pot still in Southern France
CIROC VODKA 80|CIROC|VODKA|VODKA|TX||CIROC vodka offers a taste experience that is lusciously different and elegantly smooth.
CIROC VODKA 80 W/1 GLASS|CIROC|VODKA|VODKA|TX||Finished in a tailor-made copper pot still in Southern France
CIROC VODKA 80 W/2-50ML(SC70/SW70)|CIROC|VODKA|VODKA|TX||Finished in a tailor-made copper pot still in Southern France
CIROC VODKA 80 CELEBRATION PACK|CIROC|VODKA|VODKA|TX||CIROC vodka offers a taste experience that is lusciously different and elegantly smooth.
CIROC VODKA 80 W/ COOLER BAG|CIROC|VODKA|VODKA|TX||
CIROC VODKA 80 4/15PK REPLICA|CIROC|VODKA|VODKA|TX||Finished in a tailor-made copper pot still in Southern France
CIROC VODKA 80 W/200ML APPLE|CIROC|VODKA|VODKA|TX||CIROC vodka offers a taste experience that is lusciously different and elegantly smooth.
CIROC VODKA TEN 80|CIROC|VODKA|VODKA|TX||
CIROC VODKA LTD ED 80 W/MUSIC BOX|CIROC|VODKA|VODKA|TX||Smooth and lightly sweet, our ultra-premium vodka provides a taste experience that is lusciously different and elegantly smooth.
CITRONGE ORANGE LIQ 70|CITRONGE|LIQUEUR|FRUIT LIQUEUR|TX|ORANGE|
CITRONGE ORANGE LIQ 70|CITRONGE|LIQUEUR|FRUIT LIQUEUR|TX|ORANGE|CitrA    nge Orange Liqueur is characterized by its clear, bright color and fresh, mature aroma that blends sweet and bitter orange with floral notes.
CLASE AZUL MEZCAL 88 W/2 SNIFTERS|CLASE AZUL|TEQUILA & AGAVE SPIRITS|MEZCAL|TX||COLOR: Bright crystalline with silver sparkles. BODY: Medium. AROMA: Citrus and herbal, green olive, cooked agave, and cloves. FLAVOR: peanut, brown sugar, honey, wood, chocolate, and notes of ripe fruit.
CLASE AZUL MEZCAL DURANGO JOVEN 88|CLASE AZUL|TEQUILA & AGAVE SPIRITS|MEZCAL|TX||COLOR: Bright crystalline with silver sparkles. BODY: Medium. AROMA: Citrus and herbal, green olive, cooked agave, and cloves. FLAVOR: peanut, brown sugar, honey, wood, chocolate, and notes of ripe fruit.
CLASE AZUL MEZ JOV S LUIS POTOS86|CLASE AZUL|TEQUILA & AGAVE SPIRITS|MEZCAL|TX||
CLASE AZUL MEZCAL 88|CLASE AZUL|TEQUILA & AGAVE SPIRITS|MEZCAL|TX||COLOR: Bright crystalline with silver sparkles. BODY: Medium. AROMA: Citrus and herbal, green olive, cooked agave, and cloves. FLAVOR: peanut, brown sugar, honey, wood, chocolate, and notes of ripe fruit.
CLASE AZUL MEZCAL JOV DURANGO 88|CLASE AZUL|TEQUILA & AGAVE SPIRITS|MEZCAL|TX||COLOR: Bright crystalline with silver sparkles. BODY: Medium. AROMA: Citrus and herbal, green olive, cooked agave, and cloves. FLAVOR: peanut, brown sugar, honey, wood, chocolate, and notes of ripe fruit.
CLASE AZUL MEZCAL JOV GUERRERO 84|CLASE AZUL|TEQUILA & AGAVE SPIRITS|MEZCAL|TX||Crafted from the papalote agave variety native to the mountain ranges of Southeastern Mexico, Clase Azul Mezcal Guerrero's artisanal making and unique provenance bring forth hints of tobacco and verdant notes of seaweed, freshly cut wood, and lemon juice.
CLASE AZUL TEQ ANEJO 80|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Clase Azul Tequila Anejo's magnificent 25-month journey in American whiskey casks gives rise to a silky, full-bodied spirit with complex notes of nutmeg, clove, orange marmalade, and toasted wood.
CLASE AZUL TEQ REP 80 PINK TEXT|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Cooked agave, vanilla, oak and roasted peppers
CLASE AZUL TEQ PLATA 80 W/2SNIFTER|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CLASE AZUL TEQ JOVEN 80 DOTD(2020)|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CLASE AZUL TEQ ANEJO 80|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Clase Azul Tequila AA    ejo's magnificent 25-month journey in American whiskey casks gives rise to a silky, full-bodied spirit with complex notes of nutmeg, clove, orange marmalade, and toasted wood.
CLASE AZUL TEQ ULTRA 80|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CLASE AZUL TEQ REP XXV ANNIV 80|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||COLOR: Gold with yellow and bright reflections. BODY: Medium. AROMA: Agave honey, vanilla, candied orange peel, and American oak. Light notes of cinnamon and banana. FLAVOR: Hazelnut, vanilla, cloves, cinnamon, and a subtle hint of agave honey.
CLASE AZUL TEQ REPOSADO 80|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Cooked agave, vanilla, oak and roasted peppers
CLASE AZUL TEQ ANEJO 80|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||COLOR: Amber with copper reflections. BODY: Great body. AROMA: Toffee, cinnamon, cloves, toasted hazelnut, vanilla, orange marmalade, quince, and toasted oak. FLAVOR: Nutmeg, cloves, orange marmalade, and toasted oak that finishes with a silky sensation.
CLASE AZUL TEQ JOVEN 80 DOTD SP ED|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||COOKED AGAVE, MINERAL, VEGETAL, VANILLA, OAK, ROASTED PEPPERS
CLASE AZUL TEQ ANEJO MUERTOS 80|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||The anejo tequila of this limited edition is inspired by Calaveritas de Azucar, a colorful sweet traditionally made during Dia de Muertos. In honor of this tradition, our Master Distiller chose to finish this tequila in casks of rhum agricole, an artisanal rum from the island of Martinique. The essence of this rum distilled from fresh sugarcane juice remains in the wooden casks and helps give the tequila its unique profile.
CLASE AZUL TEQ GOLD 80|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CLASE AZUL TEQ ANEJO DIA MUERTOS80|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CLASE AZUL TEQ REPOSADO 80|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CLASE AZUL TEQ ULTRA 80|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||COLOR: Dark amber with copper reflections. BODY: Great body. AROMA: Sherry, prune, apricot, and cherry. Maple honey, hazelnut, and intense oak notes FLAVOR: Prune, cinnamon, caramel cream, vanilla, and crystallized ginger.
CLASE AZUL TEQ(REP/PLT)3/2 W/SNIFT|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CLASE AZUL TEQ XX ANIVERSARIO 80|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CLASE AZUL TEQ PLATA 80|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||COLOR: Crystalline, bright with silver sparkles. BODY: Light to medium. AROMA: Fresh aromas of orange, lemon, and mint. Hints of vanilla, green apple, and green tea. FLAVOR: Vanilla, Meyer lemon, fresh mint, and a touch of green guava.
CLASE AZUL TEQ PLATA 80|CLASE AZUL|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CLEAR SPRING GRAIN ALCOHOL 190|CLEAR SPRING|SPIRITS-OTHER|GRAIN ALCOHOL|TX||Clear Spring Grain Alcohol 190 exhibits an array of satisfying flavors, while its nose delivers hints of delightful aromas.
CLEAR SPRING GRAIN ALCOHOL 151|CLEAR SPRING|SPIRITS-OTHER|GRAIN ALCOHOL|TX||
CLEO GIN 92|CLEO|GIN|DRY GIN|TX|BLEND-BOTANICALS|
CLERMONT STEEP WSKY SM AMER 94|CLERMONT STEEP|WHISKEY-AMERICAN|MALT WHISKEY|TX||Vanilla, Caramel, Whole-Grain/Cereal
CLONTARF IRISH 1014(SM/RS/CL)6/3PK|CLONTARF|MIXED PACKAGE-SPIRITS|MIXED PACKAGE-ASSORTED SPIRITS|TX||Malty complexity and flavorful oak
CLONTARF IRISH 1014 DUBLIN MULE PK|CLONTARF|WHISKEY-IRISH|BLENDED IRISH WHISKEY|TX||Velvety, lush, mellow, and smooth, with subtle hints of vanilla, slight maltiness and notes of toffee.
CLONTARF IRISH 1014 BLACK LABEL 80|CLONTARF|WHISKEY-IRISH|BLENDED IRISH WHISKEY|TX||Velvety, lush, mellow, and smooth, with subtle hints of vanilla, slight maltiness and notes of toffee.
CLONTARF IRISH 1014 W/IRISH CREM80|CLONTARF|WHISKEY-IRISH|BLENDED IRISH WHISKEY|TX||Velvety, lush, mellow, and smooth, with subtle hints of vanilla, slight maltiness and notes of toffee.
CLUNY SCOTCH 80|CLUNY|WHISKY-SCOTCH|BLENDED SCOTCH|TX||
CLUNY SCOTCH 80 PET|CLUNY|WHISKY-SCOTCH|BLENDED SCOTCH|TX||
CLYNELISH SCO SMALT P&U 26YR 104|CLYNELISH|WHISKY-SCOTCH|SINGLE MALT SCOTCH|TX||
CLYNELISH SCO SMALT 12YR 117|CLYNELISH|WHISKY-SCOTCH|SINGLE MALT SCOTCH|TX||Aged 12 years
CLYNELISH SCO SMALT 2ND ED 112.2|CLYNELISH|WHISKY-SCOTCH|SINGLE MALT SCOTCH|TX||
CLYNELISH SCO SMALT 14Y HSE TYRELL|CLYNELISH|WHISKY-SCOTCH|SINGLE MALT SCOTCH|TX||
CLYNELISH SCO SMALT 10YR 115|CLYNELISH|WHISKY-SCOTCH|SINGLE MALT SCOTCH|TX||Smooth notes of toffee, salt, and pepper with a long finish that's dry and spicy
CLYNELISH SCO SMALT SEL RSV 109.8|CLYNELISH|WHISKY-SCOTCH|SINGLE MALT SCOTCH|TX||Leading with a pronounced nose of wax, oily butterscotch, mixed herbs and unripe brambles, You'll soon be treated to a palate of spice and cedar-wood.
CLYNELISH SCOTCH SGL MALT 14YR 92|CLYNELISH|WHISKY-SCOTCH|SINGLE MALT SCOTCH|TX||A classic case of a coastal Highland malt with a subtle Island character
COA DE JIMA TEQ REPOSADO W/2SHT GL|COA DE JIMA|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
COA DE JIMA TEQ REPOSADO 80|COA DE JIMA|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
COA DE JIMA TEQ SILVER 80|COA DE JIMA|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
COA DE JIMA TEQ SILVER W/2 SHT GL|COA DE JIMA|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
COCORIBE RUM 42|COCORIBE|RUM|FLAVORED RUM|TX|COCONUT|
CODIGO 1530 TEQ A(BL/ROSA/REPO)3P|CODIGO 1530|MIXED PACKAGE-SPIRITS|MIXED PACKAGE-ASSORTED SPIRITS|TX||Convenient 3 Pack of Blanco, Rosa and Reposado.
CODIGO 1530 TEQ(BL/ROSA/REPO)20/3P|CODIGO 1530|MIXED PACKAGE-SPIRITS|MIXED PACKAGE-ASSORTED SPIRITS|TX||Convenient 3 Pack of Blanco, Rosa and Reposado.
CODIGO 1530 TEQ(BL/ROSA/ANEJ)20/3P|CODIGO 1530|MIXED PACKAGE-SPIRITS|MIXED PACKAGE-ASSORTED SPIRITS|TX||Convenient 3 Pack of Blanco, Rosa and Reposado.
CODIGO 1530 MEZCAL ANCESTRAL 86.2|CODIGO 1530|TEQUILA & AGAVE SPIRITS|MEZCAL|TX||Sweet, earthy nose, honey, tobacco, salinity from clay, vanilla, cantaloupe, bright minerality, hazelnut.
CODIGO 1530 MEZCAL ARTESANAL 84.4|CODIGO 1530|TEQUILA & AGAVE SPIRITS|MEZCAL|TX||Floral, light woody vanilla, mandarin orange citrus, dark cherry, earth, stone, clay and gentle smoke.
CODIGO 1530 MEZCAL ANCESTRAL(TWM)|CODIGO 1530|TEQUILA & AGAVE SPIRITS|MEZCAL|TX||Sweet, earthy nose, honey, tobacco, salinity from clay, vanilla, cantaloupe, bright minerality, hazelnut.
CODIGO 1530 MEZCAL ART(TRIPLE)84.4|CODIGO 1530|TEQUILA & AGAVE SPIRITS|MEZCAL|TX||
CODIGO 1530 MEZCAL ART(SPECS)84.4|CODIGO 1530|TEQUILA & AGAVE SPIRITS|MEZCAL|TX||Floral, light woody vanilla, mandarin orange citrus, dark cherry, earth, stone, clay and gentle smoke.
CODIGO 1530 TEQ REP 80 W/ 2-50ML|CODIGO 1530|TEQUILA & AGAVE SPIRITS|MIXED PACKAGE-TEQUILA & AGAVE SPIRITS|TX||
CODIGO 1530 TEQ ANEJO(TWM0786)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 18 months, our anejo is refined, elegant and expressive with hints of fruit, mingled with oak, touches of vanilla and a bit of spice.
CODIGO 1530 TEQ ROSA REP GS LE 80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CODIGO 1530 TEQ ANEJO BS(1SIPLIQ88|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 18 months, our anejo is refined, elegant and expressive with hints of fruit, mingled with oak, touches of vanilla and a bit of spice.
CODIGO 1530 TEQ EX AN OR(CHIDOTACO|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 6 years our Origen has aromas of spice, vanilla, caramel and sweet oak that lend to a robust palate, teeming with flavors of dried fig and cinnamon.
CODIGO 1530 TEQ ANEJO(TXCHEERLQ)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 18 months, our anejo is refined, elegant and expressive with hints of fruit, mingled with oak, touches of vanilla and a bit of spice.
CODIGO 1530 TEQ ROSA BL 80 W/2 SUG|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||This cask strength bourbon has notes that vary by selection and stave combination.
CODIGO 1530 TEQ EX ANEJO 13Y 80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CODIGO 1530 TEQ ANEJO(PGOMRWGLD)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 18 months, our anejo is refined, elegant and expressive with hints of fruit, mingled with oak, touches of vanilla and a bit of spice.
CODIGO 1530 TEQ REP 80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||agave, vanilla, pepper
CODIGO 1530 TEQ REP(FLAT CREEK)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||agave, vanilla, pepper
CODIGO 1530 TEQ ROSA BL(ROSEWDMA)|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged in uncharred cabernet barrels our Rosa leads with bright agave character and finishes with the soft floral notes of Cabernet.
CODIGO 1530 TEQ BL(OMNIHOTEL)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Never touching a barrel, our Blanco has an earthy and mineral character that balances the citrusy sweetness beautifully.
CODIGO 1530 TEQ BL(SPECS TX)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CODIGO 1530 TEQ ROSA BL(GAYLORD)|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||This cask strength bourbon has notes that vary by selection and stave combination.
CODIGO 1530 TEQ ANEJO(TWM211742)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 18 months, our anejo is refined, elegant and expressive with hints of fruit, mingled with oak, touches of vanilla and a bit of spice.
CODIGO 1530 TEQ REP(DEPOTX)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Never touching a barrel, our Blanco has an earthy and mineral character that balances the citrusy sweetness beautifully.
CODIGO 1530 TEQ ANEJO(GDYGDYGLD)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 18 months, our anejo is refined, elegant and expressive with hints of fruit, mingled with oak, touches of vanilla and a bit of spice.
CODIGO 1530 TEQ ANEJO BS(LIQ DEPOT|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 18 months, our anejo is refined, elegant and expressive with hints of fruit, mingled with oak, touches of vanilla and a bit of spice.
CODIGO 1530 TEQ REP(TWM140211)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Never touching a barrel, our Blanco has an earthy and mineral character that balances the citrusy sweetness beautifully.
CODIGO 1530 TEQ REP(DODIES#22-2288|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CODIGO 1530 TEQ REP(GG#22-2285A)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CODIGO 1530 TEQ BL(BRENTWD1)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CODIGO 1530 TEQ ROSA BL(HOPSCOTCH)|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||This cask strength bourbon has notes that vary by selection and stave combination.
CODIGO 1530 TEQ ROSA REP(SASOT)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CODIGO 1530 TEQ REP(CHICTITLEIN)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Never touching a barrel, our Blanco has an earthy and mineral character that balances the citrusy sweetness beautifully.
CODIGO 1530 TEQ REP(FILLMOREPUB)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Never touching a barrel, our Blanco has an earthy and mineral character that balances the citrusy sweetness beautifully.
CODIGO 1530 TEQ ROSA BL(TOTAL NV)|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||This cask strength bourbon has notes that vary by selection and stave combination.
CODIGO 1530 TEQ ANEJO(GAYLORD T)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 18 months, our anejo is refined, elegant and expressive with hints of fruit, mingled with oak, touches of vanilla and a bit of spice.
CODIGO 1530 TEQ ROSA BL(MAVERICKS|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged in uncharred cabernet barrels, the Rosa leads with bright agave character and finishes with the soft floral notes of Cabernet.
CODIGO 1530 TEQ(BL/ROS/RE/AN/EX)5P|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CODIGO 1530 TEQ ANEJO(GEORGE S)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 18 months, our anejo is refined, elegant and expressive with hints of fruit, mingled with oak, touches of vanilla and a bit of spice.
CODIGO 1530 TEQ BL(ALAMOCTY)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Never touching a barrel, our Blanco has an earthy and mineral character that balances the citrusy sweetness beautifully.
CODIGO 1530 TEQ BL W/50ML ROSA|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Never touching a barrel, our Blanco has an earthy and mineral character that balances the citrusy sweetness beautifully.
CODIGO 1530 TEQ ANEJO 80 5/12PK|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 18 months, our anejo is refined, elegant and expressive with hints of fruit, mingled with oak, touches of vanilla and a bit of spice.
CODIGO 1530 TEQ ROSA BL BRL(SPLQ80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||This cask strength bourbon has notes that vary by selection and stave combination.
CODIGO 1530 TEQ ROSA BL 80 LSE|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||This cask strength bourbon has notes that vary by selection and stave combination.
CODIGO 1530 TEQ ROSA BL(TWM22-0541|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||This cask strength bourbon has notes that vary by selection and stave combination.
CODIGO 1530 TEQ REP(LACASITA)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Never touching a barrel, our Blanco has an earthy and mineral character that balances the citrusy sweetness beautifully.
CODIGO 1530 TEQ ROSA BL(FRONTBURN|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||The striking freshness and vivacity of the floral and fruity fragrances (yellow fruits and fresh fruits) take root, before giving way to subtle notes of vanilla and butter, lending the wine a fruity and consistent character. The notes of cherry plum, lemon and bergamot orange emerge first, then make way for the flowers of fruit trees, such as lime and honeysuckle. These are followed by notes of butter, madeleine cakes and vanilla sugar.
CODIGO 1530 TEQ REP BRL 80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||agave, vanilla, pepper
CODIGO 1530 TEQ ANEJO(ADAIRREV)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 18 months, our anejo is refined, elegant and expressive with hints of fruit, mingled with oak, touches of vanilla and a bit of spice.
CODIGO 1530 TEQ REP CRISTALINO 80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Upon first sip, taste buds awaken to aromas of rich vanilla and roasted hazelnuts, intertwined with elegance of agave yielding depth and warmth. Notes of cooked agave offer a delicate and balanced sweetness. Hints of caramel, vanilla, and hazelnut create complexity while light cocoa finishes the palate. Altogether a harmonious and elegant tasting experience.
CODIGO 1530 TEQ ANEJO(TX CLUB)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 18 months, our anejo is refined, elegant and expressive with hints of fruit, mingled with oak, touches of vanilla and a bit of spice.
CODIGO 1530 TEQ BL(ROCKNCONCEPT)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Never touching a barrel, our Blanco has an earthy and mineral character that balances the citrusy sweetness beautifully.
CODIGO 1530 TEQ REP(KBCADVISOR2)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Never touching a barrel, our Blanco has an earthy and mineral character that balances the citrusy sweetness beautifully.
CODIGO 1530 TEQ ROSA BL(BOWIEHOUSE|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||This cask strength bourbon has notes that vary by selection and stave combination.
CODIGO 1530 TEQ REP 80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 6 months our Reposado is bright with sweet agave notes with the added complexity of vanilla, toasted caramel and subtle cocoa powder.
CODIGO 1530 TEQ BL(OTHERRACQUET)|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CODIGO 1530 TEQ EX AN OR(WBLIQ)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 6 years our Origen has aromas of spice, vanilla, caramel and sweet oak that lend to a robust palate, teeming with flavors of dried fig and cinnamon.
CODIGO 1530 TEQ ROSA BL(SPECS)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||This cask strength bourbon has notes that vary by selection and stave combination.
CODIGO 1530 TEQ ROSA BL(PEGGYS)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||This cask strength bourbon has notes that vary by selection and stave combination.
CODIGO 1530 TEQ ANEJO(GEORGSTRTX80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 18 months, our anejo is refined, elegant and expressive with hints of fruit, mingled with oak, touches of vanilla and a bit of spice.
CODIGO 1530 TEQ REP(TWM140205)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Never touching a barrel, our Blanco has an earthy and mineral character that balances the citrusy sweetness beautifully.
CODIGO 1530 TEQ ROSA REP(SPECS)|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CODIGO 1530 TEQ BL 80 5/12PK|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CODIGO 1530 TEQ ANEJO 80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 18 months, our anejo is refined, elegant and expressive with hints of fruit, mingled with oak, touches of vanilla and a bit of spice.
CODIGO 1530 TEQ ROSA REP(MAVERICK|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CODIGO 1530 TEQ ROSA BL(SPECS)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged in uncharred cabernet barrels our Rosa leads with bright agave character and finishes with the soft floral notes of Cabernet.
CODIGO 1530 TEQ ANEJO BRL STR 88|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Subtle caramelized vanilla and dark chocolate notes, swirling with toasted oak aroma. Soft on the palate with no throaty burn.
CODIGO 1530 TEQ ROSA BL(PINKTX)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||This cask strength bourbon has notes that vary by selection and stave combination.
CODIGO 1530 TEQ ANEJO(GEOSTRGLD|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aged 18 months, our anejo is refined, elegant and expressive with hints of fruit, mingled with oak, touches of vanilla and a bit of spice.
CODIGO 1530 TEQ BL STILL STR 90|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Aromas cherry blossom, maple, vanilla Tasting profile: fresh & balanced, with notes of nutty pumpkin seed, clove and rosemary mint Smooth on the palate thanks to our unique barrel fermentation process. 100 Pure Blue Weber Agave Field to Bottle 2022 Codigo 1530 Estate Agave Harvest 6 Year Agaves, Perfectly Mature Wine Barrel Fermentation Average pina size 100 lbs. Produced using 2 3 times more agave than standard practice NO Additives, sugars, flavors, colors, or chemicals 100 Recycled Glass Bottle, Made in Mexico Bottled at Still Strength 90 Proof 45 Alc. Vol.
CODIGO 1530 TEQ ANEJO(PWRDSN170167|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CODIGO 1530 TEQ REP(CHACHIS)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Never touching a barrel, our Blanco has an earthy and mineral character that balances the citrusy sweetness beautifully.
CODIGO 1530 TEQ ROSA BL 80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Cabernet, agave
CODIGO 1530 TEQ ROSA BL(LOLLIQ)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||This cask strength bourbon has notes that vary by selection and stave combination.
CODIGO 1530 TEQ REP(TWM#140208)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Never touching a barrel, our Blanco has an earthy and mineral character that balances the citrusy sweetness beautifully.
CODIGO 1530 TEQ ANEJO RH 88 W/2GLS|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||
CODIGO 1530 TEQ ROSA BL(TAPATIOSP)|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||This cask strength bourbon has notes that vary by selection and stave combination.
CODIGO 1530 TEQ BL 80 5/12PK|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Never touching a barrel, our Blanco has an earthy and mineral character that balances the citrusy sweetness beautifully.
CODIGO 1530 TEQ REP(TWM140213)80|CODIGO 1530|TEQUILA & AGAVE SPIRITS|TEQUILA|TX||Never touching a barrel, our Blanco has an earthy and mineral character that balances the citrusy sweetness beautifully.
